Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Steam_Link;Release_Date;Genre;Epic_Link;Playstation_Link;Xbox_Link;Switch_Link
Straight Battler VI;Japan;This is Not 60FPS fighting game !Straight Battler VI is very simple battle game !Anyone can learn how to fight in almost one minute and enjoy playing mind game !;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1230020/header.jpg?t=1580953317;Shinamon;Shinamon;Windows;https://store.steampowered.com/app/1230020/Straight_Battler_VI/;5 Feb, 2020;Action, Casual;Unknown;Unknown;Unknown;Unknown
DEEEER Simulator: Your Average Everyday Deer Game;Japan;Put simply, DEEEER Simulator is a “Slow-Life Town Destruction Game”. You can spend your days enjoying a nice, relaxed frolic here and there together with the other animals around to...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1018800/header.jpg?t=1680015524;PLAYISM;Gibier Games;Windows;https://store.steampowered.com/app/1018800/DEEEER_Simulator_Your_Average_Everyday_Deer_Game/;23 Nov, 2021;Action, Casual, Indie, Simulation;Unknown;Unknown;Unknown;Unknown
The Tawashi;Japan;A vertical scrolling shooter with a nostalgic twist! Evade and shoot on end!;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1195530/header.jpg?t=1606291684;MUTOYS;MUTOYS;Windows;https://store.steampowered.com/app/1195530/The_Tawashi/;21 Jan, 2020;Action, Indie;Unknown;Unknown;Unknown;Unknown
Marisa's Marvelous Magic Shop;Japan;Kirisame Magic Shop is hidden deep in the forests of Gensokyo. It’s so remote, in fact, that there aren’t any customers. Just as Marisa is despairing over her lack of sales, self-pr...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1144330/header.jpg?t=1574415304;DLsite;Masakami Nature Reserve;Windows;https://store.steampowered.com/app/1144330/Marisas_Marvelous_Magic_Shop/;20 Nov, 2019;Casual, Indie, Simulation;Unknown;Unknown;Unknown;Unknown
Shiki;Japan;"2.5D fantasy adventure homage to ""The Little Prince "". 2.5D world consisting of 3D sphere model and pixel art. A Fantastic world view with subtle original graphics.";https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1174300/header.jpg?t=1581386334;HataIkeda;HataIkeda;Windows, macOS;https://store.steampowered.com/app/1174300/Shiki/;5 Nov, 2019;Adventure, Free To Play, Indie;Unknown;Unknown;Unknown;Unknown
Trinoline All Ages Version;Japan;One summer day, Shun Nanami meets a girl who is the spitting image of his dead sister. She turns out to be a high-tech android indistinguishable from a human being. So begins a touching...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/965010/header.jpg?t=1725518400;MangaGamer;minori;Windows;https://store.steampowered.com/app/965010/Trinoline_All_Ages_Version/;18 Apr, 2019;Adventure;Unknown;Unknown;Unknown;Unknown
VR瓦割り / VR roof tile;Japan;This game competes how many tiles are broken in VR space. It simulates with controller speed tracking and physics. You can compete with people from all over the world in the ranking sys...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1135320/header.jpg?t=1571782484;次世代ゲーム研究所;次世代ゲーム研究所;Windows;https://store.steampowered.com/app/1135320/VR__VR_roof_tile/;22 Oct, 2019;Indie, Sports;Unknown;Unknown;Unknown;Unknown
Infinos Gaiden;Japan;The feeling of 90's arcade shooter will come again !! Arcade-like side scroll shooter of 7 stages in all!;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/771070/header.jpg?t=1572700355;Picorinne Soft;Picorinne Soft;Windows;https://store.steampowered.com/app/771070/Infinos_Gaiden/;19 Jan, 2018;Action, Indie;Unknown;Unknown;Unknown;Unknown
Shmup Moments;Japan;Shmup Moments is a shoot-'em-up game that's easy to pick up and play. With arcade-like gameplay, slick controls and sound, hot beats and lighting, and a classic bullet hell ambience, it...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1027700/header.jpg?t=1707094085;Mankind ;Mankind;Windows;https://store.steampowered.com/app/1027700/Shmup_Moments/;17 Mar, 2019;Action, Casual, Indie;Unknown;Unknown;Unknown;Unknown
Antiquia Lost;Japan;An authentic RPG of a journey with a girl made of slime! Enjoy fluid 2D turn-based battles! Bine is a young man who lives in a small rural village. One day, he is asked by Lunaria, a gi...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/648640/header.jpg?t=1725607247;KEMCO;Exe Create Inc.;Windows;https://store.steampowered.com/app/648640/Antiquia_Lost/;6 Jul, 2017;Adventure, Casual, Indie, RPG, Strategy;Unknown;Unknown;Unknown;Unknown
Sephirothic Stories;Japan;When the world tree begins to wane, what will become of the balance of the world? Discover the truth behind the world tree's waning power in a fantasy RPG! Navigate trap-filled dungeons...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1015540/header.jpg?t=1725607600;KEMCO;Exe Create Inc.;Windows;https://store.steampowered.com/app/1015540/Sephirothic_Stories/;14 Mar, 2019;Adventure, Casual, Indie, RPG, Strategy;Unknown;Unknown;Unknown;Unknown
Frane: Dragons' Odyssey;Japan;An odyssey to the world below! Set out for in search of a missing girl and venture out in a fantasy action RPG!;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/265730/header.jpg?t=1725607611;KEMCO;ExeCreate Inc.;Windows;https://store.steampowered.com/app/265730/Frane_Dragons_Odyssey/;4 Apr, 2019;Action, Adventure, Casual, Indie, RPG;Unknown;Unknown;Unknown;Unknown
Hello, Goodbye;Japan;"""Toubu Kaito"" That is the fake name assumed by a young military officer from the United Provinces of Japan. He has been tasked with infiltrating Tenshudo Academy, located in Special Dis...";https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1009460/header.jpg?t=1670679558;NekoNyan Ltd.;Lump of Sugar;Windows;https://store.steampowered.com/app/1009460/Hello_Goodbye/;18 Apr, 2019;Casual, Simulation;Unknown;Unknown;Unknown;Unknown
